id,Arabic,English,pred_ar_standalone,pred_en_standalone,chrf_en_to_ar_standalone,chrf_ar_to_en_standalone,pred_ar_stage2,pred_en_stage2,chrf_en_to_ar_stage2,chrf_ar_to_en_stage2,delta_chrf_en_to_ar,delta_chrf_ar_to_en
43187,خدمة مليحة يا خويا، بصح مالو سام؟ اديها في روحك.,"Good job, man, but what's wrong with Sam? Mind your own business.",ڨاع مليح يا خو، بصح واش بيه سام؟ خليها على روحك.,"100% good work, my dear, but what's wrong with Sam? Take it easy.",28.96450212600858,46.11517839679442,ڨاع مليح يا خو، بصح واش بيها سام؟ هدر على روحك.,"100% good work, my dear, but what's wrong with Sam? Take it easy.",28.764182560522567,46.11517839679442,-0.20031956548601215,0.0
1784,شنو هي الحاجه اللي راح تفرقك عليا، ولا اللي راح تفرقني عليه؟,What is the thing that will differentiate you from the thing that will differentiate me from him?,<strong>واش هو الشي اللي راح يميزك على الشي اللي راح يميزني على عليه؟</strong>,"What is the thing that will separate you from me, or what will separate me from you?",29.934170097097535,51.943286151216626,ڨاع واش راح يميزك على واش راح يميزني على واش راح يميزو هو؟,"1. What is the thing that will separate you from me, or what will separate me from you?",14.062218078604817,51.50874584612999,-15.871952018492719,-0.4345403050866352
48921,بالطبع، واش راح يربح الشيطان؟ راح يربح كي يحبس سيدنا إبراهيم من إقامة هاد الشعيرة حتى لليوم.,"Of course, what would Satan gain? He would gain by stopping our master Abraham from establishing this ritual until today.",‹‹طبعاً، واش راح يربح الشيطان؟ راح يربح كي يحبس سيدنا إبراهيم من إقامة هاد الطقوس حتى لليوم.››,"100% Yes, what will Satan win? He will win by stopping our master Abraham from performing this ritual until today.",81.1103230470602,62.36029122878968,ڨاع، واش راح يربح الشيطان؟ راح يربح كي يحبس سيدنا إبراهيم من إقامة هاد الطقوس حتى لليوم.,"Of course, what will the devil win? He will win by stopping our master Abraham from performing this ritual until today.",84.96649007824293,67.57558474728243,3.8561670311827214,5.215293518492757
404,دزاير هي أمي.,Algeria is my mother.,ڨاع الجزائر يما.,100% Algeria is my mother.,10.793277506470986,94.28979086232194,ڨاع الجزائر يما.,100% Algeria is my mother.,10.793277506470986,94.28979086232194,0.0,0.0
29590,كملي اللحن يا عزيزتي. تقدري تهدني باش نقدروا نهدروا؟ راني نقولك، شفت نور طاح من البسيكليت وتجرح، واش شفت صرا دروك ماشي من قبل. يا عزيزتي، بالاك غير تهيألك برك.,"Continue with the melody, my dear. Can you calm down so we can talk? I'm telling you, I saw Nour fall off the bicycle and get hurt, and what I saw just happened now, not before. My dear, it might have seemed that way to you.",كمل مع المقطوعة يا خويا. تقدر تهدن باش نهضرو؟ راني نقولك، شفت نور طاحت من الباسيكلت وتجرحت، واللي شفته صرا دروك برك، ماشي من قبل. يا خويا، بالاك بانلك هكا.,"<em>Continue the tune, my dear. Can you calm me down so we can talk? I'm telling you, I saw Noor fall off the bike and get hurt, and what I saw just happened now, not before. My dear, maybe I just imagined it.</em>",44.369934617366205,71.11680896496964,ِكمل مع الموسيقى يا خويا. تقدر تهدى باش نهضرو؟ راني نقولك، شفت نور طاحت من الباسيكلت وضربت روحها، واللي شفته صرا دروك برك، ماشي من قبل. يا خويا، بالاك بانلك هكا.,"Continue the tune, my dear. Can you calm me down so we can talk? I'm telling you, I saw Nour fall from the bicycle and get hurt, and what I saw just happened now, not before. My dear, maybe it just happened to me.",42.28269617275745,75.14513650950185,-2.087238444608758,4.0283275445322175
16533,أكيد راك موافق.,Of course you agreed.,‹‹طبعاً وافقت.››,100% you agree.,12.016464067559852,33.61356766484111,ڨاع وافقت.,100% you agree.,16.60322405126868,33.61356766484111,4.586759983708827,0.0
47083,الماتش شباب يا دينا. راهم يهدروا إذا كايل ووكر خير، ولا كايل ووكر ضد بن وايت. أستاذ محمود، نظن هاد العام، بلا شك، هو بن وايت، ما كاينش سؤال. كايل ووكر؟ طبعاً، هاديك هي القضية. علاش ما نقولوش بن وايت ونخليو الجمهور يقرر شكون ربح؟ كيما كايل ووكر في الظهير الأيمن. بالنسبة لقلب الدفاع، حاب نفاجئك – نختار غابرييل وساليبا. لاحظت شحال سريعين؟ نشوفهم أحسن ثنائي. إذا تهدر على السيتي، كاين واحد مليح بزاف كمدافع وحدو؟ مليح بزاف، بصح كنظام مع بعض، كيما فان دايك قدام أي واحد – لا، إذا واحد غاب، لاخر يتأثر. واش رايك في كامل لاعبي أرسنال اللي يقولوا غابرييل خير من ساليبا، يعني أقوى؟ لا، شفت هاد الفيديو – هما في الحقيقة يكملوا بعض. في الماتشات وين ساليبا يلعب ناقص، بصراحة، نشوف غابرييل يدير أخطاء هو تاني. خليني نكون صريح – كشخصية في التيران، ساليبا أكثر موثوقية من غابرييل. يبان أكثر استقرار. تشفاو على ثنائية فيديتش-فرديناند؟ ساليبا أصغر من غابرييل. إيه، كيما فيديتش وفرديناند – ثنائي قوي بزاف، بصح فيديتش كان ديما خير من فرديناند، رغم أن فرديناند كان رائع، بصح فيديتش كان حاجة أخرى، استثنائي، والثنائي مع بعض كانوا مذهلين. إذن، غابرييل-ساليبا، متفقين؟ ما عندناش واحد آخر. زينتشينكو... يعني، نقدروا نقولوا تومياسو لعب تما تاني. جوريين تيمبر تاني، بصح بصراحة، في بعض الماتشات فاجأني بزاف. راك تهدر على... بصح كخيار في البنك بين كامل هاد الأسماء، هو في الحقيقة الأحسن. بالمناسبة، حاب نقول حاجة – كامل جمهور أرسنال اللي راهم يشوفوا يقولوا يكمل زينتشينكو، بصح بصراحة، ما حابش نكون ظالم لواحد في الدفاع خاطر نشوف ناس ظالمين ستونز. ستونز ما لعبش كامل هاد الموسم.,"The game is nice, Dina. They are talking about whether Kyle Walker is better, or Kyle Walker vs. Ben White. Professor Mahmoud, I think this year, without a doubt, it's Ben White, no question. Kyle Walker? Of course, that's the issue. Why not just say Ben White and let the fans decide who won? Like Kyle Walker at right-back. For the center backs, I want to surprise you – I'd choose Gabriel and Saliba. Did you notice how fast they are? I see them as the best duo. If you talk about City, is there anyone really good as a defender on their own? Very good, but as a system together, like Van Dijk next to anyone – no, if one is missing, the other is affected. What do you think about all the Arsenal players saying Gabriel is better than Saliba, I mean, stronger? No, I saw that video – they actually complement each other. In matches where Saliba plays badly, honestly, I see Gabriel making mistakes too. Let me be honest – as a character on the pitch, Saliba is more reliable than Gabriel. He feels more stable. Remember the Vidic-Ferdinand partnership? Saliba is younger than Gabriel. Yes, like Vidic and Ferdinand – a really strong pair, but Vidic was always better than Ferdinand, even though Ferdinand was great, but Vidic was something else, extraordinary, and the pair together were amazing. So, Gabriel-Saliba, agreed? We really don't have anyone else. Zinchenko… I mean, we could say Tomiyasu played there too. Jurrien Timber too, but honestly, in some matches he really surprised me. You're talking about... but as a bench option among all these names, he's actually the best. By the way, I want to say something – all Arsenal fans watching say he complements Zinchenko, but honestly, I don't want to be unfair to anyone in defense because I see some people are unfair to Stones. Stones hasn't played at all this season.",ڨاع مليح، دينا. راهم يهدروا إذا كاي هافيرتز خير، ولا كاي هافيرتز ضد بن وايت. الأستاذ محمود، نظن هاد العام، بلا شك، بن وايت، ما كاش سؤال. كاي هافيرتز؟ طبعاً، هاديك هي المشكلة. علاش ما تقولوش بن وايت وخلاص، وخليوا الجماهير يخيروا شكون ربح؟ كيما كاي هافيرتز في الظهير الأيمن. بالنسبة لقلبيص، حاب,نقولك حاجة، ما رانيش حاب نكون متحيز، بصح في رأيي، في هاد الماتش، غابرييل كان أحسن واحد في التيران.,15.76456148919306,0.049990840728284504,ڨاع مليح يا دينا. راهم يهدروا إذا كاي هافيرتز خير، ولا كاي هافيرتز ضد بن وايت. الأستاذ محمود، نظن هاد العام، بلا شك، بن وايت، ما كاش سؤال. كاي هافيرتز؟ طبعاً، هاديك هي المشكلة. علاش ما تقولوش بن وايت وخلاص، وخليوا الجمهور يخير شكون ربح؟ كيما كاي هافيرتز في الظهير الأيمن. بالنسبة للمدافعين، حاب نفاجئ,نقولك حاجة، ما رانيش حاب نكون متكبر، بصح...,16.654499018357633,0.1019130120654223,0.8899375291645732,0.0519221713371378
21661,هاداك الراجل اللي لهيه شراها وراه يخمم يهدها.,That guy over there bought it and is thinking about tearing it down.,ة هاداك اللي لهيه شراه وراه يخمم يهدمها.,<em>That man over there bought it and is thinking about calming it down.</em>,61.01203514760131,71.35765793980873,ڨاع هادوك اللي لهيه شراوه وراه يخمم يكسروه.,<em>That guy over there bought it and is thinking about calming it down.</em>,46.90481116488432,80.48813421302901,-14.107223982716988,9.130476273220282
34388,أصعب لحظة هي كي كنت قريب نطيح الميلك شيك على يوسف عطال، وهو بصح خاف. حسيت بلي صح كان حاسبني راح نكبه عليه، بصح الحمد لله عدات على خير، خاطر لو كان طاح، كانت راح تكون حشمة كبيرة.,"The hardest moment was when I almost spilled the milkshake on Youcef Atal, and he actually got scared. I felt like he really thought I was going to spill it on him, but thank God it passed, because if it had spilled, it would have been so embarrassing.",ﺃصعب لحظة كانت كي قربت نغطي الميكس على يوسف عطال، وهو في الحقيقة خاف. حسيت بلي صح كان خايف بلي راح نغطي عليه، بصح الحمد لله فاتت، لوكان تطيح كانت راح تكون كارثة.,"<strong>The most difficult moment was when I was about to spill the milkshake on Youssef Attal, and he actually got scared. I felt like he really thought I was going to spill it on him, but thank God it turned out fine, because if it had spilled, it would have been a big embarrassment.</strong>",48.17284689789669,78.32445830203095,ٱصعب لحظة كانت كي قربت نطيح المايلكش على يوسف عطال، وهو في الحقيقة خاف. حسيت بلي كان حاس بلي راني رايح نطيح عليه، بصح الحمد لله فاتت، لالا كانت طاحت كانت راح تكون فضيحة كبيرة.,"100% the hardest moment was when I was about to spill the milk shake on Youssef Attal, and he actually got scared. I felt like he really thought I was going to spill it on him, but thank God it turned out fine, because if it had spilled, it would have been a big embarrassment.",49.53410729140904,80.99238081022098,1.361260393512353,2.6679225081900313
24943,نيوكاسل 5 - بيرنلي 5,Newcastle 5 - Burnley 5,5 لـ 5 نيوكاسل - بيرنلي,5 - 5,63.51728349664582,24.421962083398615,5 لـ 5 نيوكاسل - بيرنلي,5 Newcastle - 5 Burnley,63.51728349664582,63.38206115779646,0.0,38.960099074397846
